customer_id,age,annual_income,months_active,avg_monthly_spend,purchase_frequency,avg_order_value,discount_usage_rate,return_rate,browsing_time_minutes,support_interactions,payment_method,region,customer_segment
2531,42,20859,65,379,4,71,0.2,0.1,21,2,Card,Semi-Urban,Loyal
17747,62,,59,246,5,42,0,0.1,36,2,Card,Urban,Loyal
8271,68,140601,44,126,7,17,0.3,0.1,55,7,Card,Urban,Loyal
15080,46,59669,49,213,,40,0.2,0.1,17,1,Card,Semi-Urban,Loyal
13625,41,47016,1,117,6,18,0.3,0,25,1,UPI,Semi-Urban,Regular
30639,58,15198,56,512,1,259,0.6,0.4,72,1,Card,Urban,Regular
30441,33,13540,18,418,1,185,0.4,0,66,1,UPI,Urban,Occasional
36057,28,,15,511,5,87,0.3,0.1,30,2,Wallet,Urban,Occasional
42652,43,45847,20,705,4,133,0.6,0.2,32,1,Wallet,Rural,Occasional
36804,37,28099,40,773,4,164,0.6,0.1,14,3,Card,Semi-Urban,Occasional
48225,58,,46,1026,0,685,0.4,0.2,34,2,Wallet,Urban,Occasional
29227,66,35705,65,138,3,36,0.2,0,83,1,Card,Semi-Urban,Regular
5634,42,26077,39,,6,124,0.6,0.1,18,2,Card,Semi-Urban,High_Value
5988,60,,48,456,5,76,0.5,0.2,63,1,Card,Urban,Loyal
48064,28,13069,37,116,4,22,0.4,0.3,35,1,Wallet,Rural,Loyal
1813,55,,14,600,4,116,0.5,0.1,25,0,UPI,Rural,Occasional
27579,69,16116,68,366,9,35,0.5,0.2,73,1,Card,Semi-Urban,Loyal
16824,69,71683,54,130,6,18,0,0.1,56,2,Card,Semi-Urban,Loyal
3929,57,25298,46,137,,14,0.4,0.2,50,0,Card,Urban,Loyal
37287,56,9798,38,217,5,39,0.5,0.1,,2,UPI,Urban,Loyal
25046,35,35259,1,88,10,8,0,0.2,,3,UPI,Semi-Urban,Occasional
15728,47,42464,35,429,2,168,0.3,0,39,0,Card,Semi-Urban,Occasional
29601,64,55424,12,415,5,75,0.1,0,91,0,Card,Urban,Occasional
10431,52,28522,33,258,11,21,0.1,0.4,44,1,Card,Urban,Loyal
25769,59,38859,59,382,6,56,0.1,,13,1,Card,Urban,Loyal
29104,55,39302,61,402,6,57,0.1,0.2,,1,Card,Semi-Urban,Loyal
36538,63,25985,36,53,6,7,0.4,0.3,18,3,Card,Semi-Urban,Regular
39329,19,63626,6,,7,28,0.2,0.1,28,1,UPI,Rural,Regular
35540,26,81943,56,321,9,31,0.4,0.1,45,1,Card,Semi-Urban,High_Value
28076,37,22550,65,559,,213,0.2,0.1,31,1,UPI,Rural,Occasional
17841,51,99885,15,445,5,77,0.4,0.1,34,4,Card,Urban,Occasional
27803,61,66924,8,261,3,70,0.3,0.1,129,0,Card,Urban,Occasional
7683,57,55351,25,301,2,99,0.2,0,44,1,Card,Rural,Occasional
24280,19,82294,64,412,20,19,0.1,0,41,1,Card,Semi-Urban,High_Value
33071,44,27759,66,285,5,51,0.3,0.3,31,3,Wallet,Rural,Loyal
35558,18,56168,49,,8,17,0.2,0.1,,1,Card,Semi-Urban,Loyal
37190,68,21136,69,301,3,76,0.4,0.2,98,2,Card,Semi-Urban,Regular
47150,45,51189,22,400,3,109,0.2,0.1,82,1,Card,Urban,Occasional
46916,28,32887,23,196,5,32,0.3,0,15,0,Card,Semi-Urban,Regular
9802,56,49117,45,277,5,44,0.3,0.4,60,1,Card,Urban,Loyal
38801,26,33209,27,409,,101,0.4,0,90,0,Wallet,Semi-Urban,Occasional
24670,39,21673,65,573,2,185,0.1,0.1,81,0,Card,Rural,Occasional
44234,39,37933,43,25,6,4,0.2,0.2,106,2,UPI,Urban,Loyal
31920,66,40617,33,299,3,68,0.3,0.1,,1,Wallet,Urban,Occasional
7135,59,88373,22,549,5,87,0.2,0,114,1,Card,Urban,Occasional
33705,28,,43,432,1,203,0.3,0.2,115,2,Card,Semi-Urban,Occasional
29661,36,84023,58,450,8,50,0.3,0.2,47,1,Wallet,Rural,High_Value
17894,64,38800,5,140,2,42,0.1,0.3,45,2,UPI,Rural,Regular
22019,46,12855,8,269,6,36,0.1,0.1,71,1,Card,Urban,Occasional
13539,39,47555,30,160,3,41,0.2,0.1,36,3,Card,Urban,Occasional
43119,42,17927,45,139,2,46,0.5,0.1,37,2,Wallet,Urban,Occasional
36421,49,16352,57,235,1,99,0.2,0,72,,Card,Rural,Occasional
9406,33,27043,37,514,4,97,0.2,,25,1,Card,Rural,Loyal
13414,69,,60,574,7,70,0.3,0,76,1,Card,Urban,High_Value
6721,41,27478,66,559,5,93,0.1,0.2,13,0,Card,Urban,High_Value
15602,18,19818,56,423,2,167,0.3,0.1,,0,UPI,Semi-Urban,Occasional
44744,28,19553,47,560,3,128,0.7,0,25,0,Card,Urban,Occasional
31139,69,23047,65,,5,15,0.2,0,352,3,Card,Urban,Loyal
2730,38,14357,65,391,2,133,0.5,0.4,103,,UPI,Urban,Occasional
38243,29,15838,45,326,2,114,0.2,0,19,2,Wallet,Rural,Occasional
29626,69,34001,15,548,7,67,,0.3,38,2,Card,Urban,Occasional
47895,35,27389,68,487,2,186,0.1,0.3,59,2,Wallet,Rural,Occasional
42091,59,32418,34,263,5,46,0.5,0,8,6,Card,Semi-Urban,Occasional
36400,31,41898,61,263,2,86,,0.2,13,0,Wallet,Urban,Occasional
6245,18,24019,34,403,24,16,0,0,98,,UPI,Semi-Urban,Loyal
5546,32,46562,45,716,,142,0.5,0.1,,1,UPI,Urban,Regular
4065,34,40338,36,703,4,133,0.3,0,79,1,Card,Semi-Urban,Occasional
12852,54,64795,46,768,3,176,0.2,0.2,14,3,Card,Urban,Occasional
21803,56,40257,48,207,4,43,0.3,0.1,5,0,UPI,Urban,Regular
41164,41,47524,1,429,4,79,,0.4,,1,Card,Urban,Regular
6233,64,,4,310,6,47,0.2,0,15,2,Wallet,Urban,Occasional
3863,19,17543,41,838,2,313,0.4,0.5,73,3,Wallet,Urban,Occasional
35095,68,27881,72,269,1,155,0.3,0.1,28,1,UPI,Urban,Occasional
40196,34,47850,40,240,8,28,0.3,0.5,55,2,UPI,Urban,Loyal
39251,55,53291,27,267,6,37,0.1,0.1,115,3,Card,Rural,Occasional
6218,47,76774,39,111,5,19,0.4,0.2,19,0,UPI,Urban,Loyal
36776,22,30741,22,479,1,202,0.4,0.2,,1,UPI,Urban,Occasional
42977,33,27708,18,1029,1,431,0.4,0,,3,UPI,Semi-Urban,Occasional
48468,46,,67,413,1,174,0,0.2,,0,Card,Semi-Urban,Loyal
14832,44,,24,203,4,40,,0.2,102,1,Card,Urban,Occasional
30093,57,41583,37,500,7,67,0.1,0.1,88,3,Wallet,Semi-Urban,High_Value
8894,19,20590,38,343,2,130,0.4,0.4,237,0,UPI,Urban,Occasional
6021,50,23860,14,444,4,85,0.2,0,47,,Card,Urban,Occasional
46089,55,,16,452,15,28,0.3,0.2,27,3,Card,Rural,Occasional
15243,40,17033,37,419,5,73,0.4,0.1,3,1,UPI,Semi-Urban,Loyal
45308,65,14563,62,195,2,77,0.3,0,28,0,Card,Rural,Regular
26551,18,46476,65,253,9,25,0.2,0.1,,2,UPI,Rural,Loyal
6035,60,39923,66,114,5,19,0.4,0.1,54,1,Card,Urban,Loyal
7906,49,47752,66,163,3,45,0.3,0.1,14,0,Wallet,Urban,Occasional
32226,59,39742,55,750,6,103,0.1,0.3,,1,UPI,Semi-Urban,High_Value
6018,49,18914,68,189,6,26,0.5,0.1,89,,Card,Rural,Loyal
21880,34,77971,25,492,2,142,0.6,0.1,,1,Card,Semi-Urban,Occasional
2792,33,29189,46,192,7,23,0.4,0.3,12,,Card,Rural,Loyal
42606,43,58992,69,287,4,60,0.3,0.1,58,1,Card,Semi-Urban,Regular
5824,48,97999,46,205,3,49,0.3,0.1,50,0,Card,Urban,Regular
15388,33,138654,53,294,2,101,0.3,0,52,1,Card,Urban,Regular
29562,58,124980,31,244,3,63,0.2,0.1,55,4,Card,Urban,Regular
39476,40,14466,19,382,6,56,0.4,0.1,28,3,Card,Urban,Loyal
293,59,68369,19,,5,63,0.3,0.2,45,1,Card,Urban,Occasional
16958,40,49157,65,255,3,64,,0,35,3,Wallet,Rural,Occasional
30861,46,23958,44,417,3,116,0.6,0.1,52,0,Card,Urban,Occasional
14074,44,45153,32,396,6,60,0.3,,67,,UPI,Urban,Regular
21857,59,24535,71,67,8,8,0.4,0.2,41,3,Card,Urban,Loyal
22080,53,36374,28,726,4,146,0.2,0,59,2,Card,Urban,Regular
17024,18,77426,72,449,5,80,0.3,0.2,106,2,Card,Urban,Loyal
8740,37,40269,53,368,8,41,0.3,0,14,1,Card,Urban,High_Value
15826,45,11937,60,172,2,55,0.4,0.1,16,1,UPI,Semi-Urban,Occasional
2742,23,22445,60,265,3,60,0.1,0.1,71,1,Card,Urban,Loyal
18049,59,20950,35,608,9,60,0.3,0.1,36,1,Card,Semi-Urban,Regular
49937,66,25401,23,163,1,80,0.3,0,38,1,UPI,Semi-Urban,Occasional
17373,68,20572,69,360,2,126,,0.2,166,5,Card,Semi-Urban,Occasional
22022,46,84899,41,279,5,45,0.3,0.3,38,4,Card,Urban,Loyal
46365,21,27006,43,860,6,128,0.1,0.3,44,0,UPI,Rural,High_Value
23538,32,74198,64,278,2,90,0.2,0,37,,Card,Urban,Occasional
45500,33,31493,68,308,3,72,0.2,0.1,154,2,Card,Urban,Regular
40186,49,18009,59,166,9,17,0.3,0,64,2,Card,Urban,Loyal
9614,43,,9,144,9,14,0.1,0.1,,3,UPI,Urban,Regular
43282,29,26817,20,293,2,97,0.4,0.1,180,2,Card,Urban,Occasional
37892,30,68232,53,629,3,145,0.2,0.4,88,0,Card,Rural,Occasional
26179,57,42030,72,210,2,67,0.1,0.1,89,2,Card,Urban,Regular
45893,25,24324,34,182,6,27,0.1,0.1,24,0,Card,Semi-Urban,Regular
20934,63,63783,30,,6,28,0.7,0.1,27,1,Card,Urban,Regular
40972,46,32905,1,142,4,31,0.6,0.3,100,1,Card,Rural,Regular
22225,23,44925,21,662,13,46,0.4,0,107,2,Wallet,Urban,Loyal
24382,68,44501,21,160,4,32,0.4,0,28,1,Card,Semi-Urban,Occasional
34856,21,74445,15,196,4,42,0.2,0.1,38,0,Card,Urban,Regular
48578,61,15446,60,561,9,58,0.6,0.1,51,1,UPI,Semi-Urban,High_Value
38537,61,46211,43,221,1,104,0.1,0.1,34,0,UPI,Rural,Regular
31756,51,128477,11,294,,84,0.2,0,127,1,UPI,Semi-Urban,High_Value
7754,46,37261,4,551,3,138,0.2,0.2,15,1,Wallet,Urban,Occasional
46639,19,40431,71,203,5,31,0.2,0.1,45,4,Card,Urban,Loyal
43835,31,51874,41,109,6,16,0.1,0.2,43,2,Card,Urban,Loyal
26236,56,49889,23,189,9,19,0,0.2,56,1,UPI,Semi-Urban,Regular
44230,58,42823,71,405,8,46,0.4,0.1,66,2,Card,Urban,High_Value
49597,31,,4,286,6,42,0.3,0.2,102,0,Card,Semi-Urban,Occasional
18553,36,,58,98,2,37,0.4,0.4,66,2,Card,Semi-Urban,Occasional
43137,25,15525,4,321,2,97,0.4,0,115,0,Wallet,Urban,Occasional
36673,35,19135,56,147,5,26,,0.5,64,2,Wallet,Semi-Urban,Loyal
43650,65,53526,33,241,6,33,0.4,0.3,75,0,Wallet,Urban,Loyal
3941,21,65949,31,83,3,21,0.6,0.2,94,1,UPI,Urban,Regular
31497,33,9086,51,340,6,47,0.4,0.2,17,3,Card,Semi-Urban,Loyal
26594,59,11156,6,211,8,24,0.1,0.1,29,2,Card,Semi-Urban,Occasional
23922,20,54959,50,283,5,50,0.1,0.1,17,2,Card,Semi-Urban,Loyal
26403,61,51585,2,215,4,40,0,0.2,51,3,UPI,Urban,Occasional
45943,43,31638,7,494,2,143,,0.1,27,2,Wallet,Semi-Urban,Occasional
48526,20,60012,50,600,3,138,0.2,,69,0,Card,Urban,Occasional
18316,37,79054,48,146,2,51,0.1,0.1,,,UPI,Semi-Urban,Occasional
36894,52,63637,12,191,3,54,0.3,0.1,38,0,Card,Semi-Urban,Occasional
26696,49,30708,61,630,3,158,0.4,0.1,68,1,Card,Semi-Urban,Regular
42128,42,10658,32,789,8,85,0.3,0.2,75,0,Card,Semi-Urban,Regular
14171,55,61465,9,794,15,50,0.5,,41,3,Card,Semi-Urban,Regular
3733,24,21932,44,629,2,223,0.5,0,58,2,UPI,Urban,Occasional
7882,57,,34,110,10,10,0.1,0.3,,3,UPI,Urban,Loyal
6017,26,98813,13,459,4,101,0.5,0.3,,1,UPI,Urban,Occasional
23030,42,39246,40,637,3,164,0.2,0.2,54,0,Card,Rural,Occasional
35474,21,34218,32,126,5,22,0.5,0.1,113,1,UPI,Urban,Loyal
49686,33,54021,66,365,4,76,0.4,0.1,247,1,UPI,Urban,Loyal
4818,30,26974,5,560,5,93,0.4,0.2,8,2,UPI,Rural,Occasional
41694,53,58441,21,418,5,71,0.1,0.1,36,1,UPI,Urban,Regular
12008,59,22548,21,542,7,64,0.4,0.2,45,3,UPI,Urban,Regular
41328,30,88895,56,146,,25,0.3,0.1,53,0,Wallet,Rural,Loyal
9507,69,14693,67,285,6,39,0.6,0.1,9,1,Card,Urban,Loyal
44799,18,64869,63,427,9,42,0.3,,52,5,Wallet,Semi-Urban,High_Value
34063,26,31621,19,455,3,117,0.5,0.1,85,1,UPI,Rural,Occasional
27475,62,22995,21,84,3,20,0.1,0,84,2,Card,Urban,Regular
31144,31,13767,41,69,2,22,0.4,0,63,2,Card,Semi-Urban,Regular
21236,47,29819,42,261,5,44,0.1,0.1,89,2,UPI,Semi-Urban,Loyal
1391,47,121780,49,305,7,39,0.5,0,38,4,Wallet,Urban,Loyal
38250,40,62430,18,107,3,29,,0,9,0,Card,Semi-Urban,Regular
37625,35,55416,4,278,3,76,0.3,0.1,87,0,Card,Semi-Urban,Occasional
42029,49,29628,4,245,9,25,,0.3,,5,Card,Urban,Regular
20835,38,149605,1,364,5,62,0.1,0.1,68,0,Wallet,Urban,Regular
14758,21,,22,288,7,35,0.2,0.1,68,4,Card,Urban,Regular
26397,64,44864,35,293,9,30,0.2,0,34,1,Card,Rural,Regular
6809,63,43538,12,393,4,77,0.2,0.3,50,,UPI,Semi-Urban,Occasional
9226,46,10436,69,275,3,75,0.5,0.1,55,2,Card,Urban,Regular
48395,65,32464,65,292,2,104,0.4,0,99,1,Wallet,Semi-Urban,Loyal
5396,68,17187,68,374,3,100,0.2,0.2,26,0,UPI,Urban,Regular
6944,68,19727,32,119,4,23,0,0.1,54,1,Card,Semi-Urban,Regular
23871,53,44727,58,326,3,92,0.1,0.4,40,3,Card,Semi-Urban,Regular
32493,20,21116,38,459,3,104,0.2,0,88,1,Card,Rural,Regular
36346,23,58764,19,182,0,156,0.1,0.1,37,4,UPI,Rural,Occasional
10756,45,40649,1,,3,157,0.5,0.3,98,3,Card,Semi-Urban,Occasional
12302,63,27312,70,332,7,44,0.4,0,48,3,UPI,Rural,Loyal
48387,20,41770,23,259,13,18,0.4,0.2,56,2,UPI,Urban,Loyal
42746,43,19482,62,,6,35,0.3,0.3,37,1,Card,Semi-Urban,Loyal
29090,30,69943,27,594,2,225,0.3,0.2,29,1,UPI,Urban,Occasional
44713,55,22828,39,527,8,56,0.4,0.5,57,4,UPI,Urban,High_Value
14344,50,12886,32,270,4,56,0.2,0.3,92,1,Card,Urban,Occasional
38173,47,8572,39,314,11,27,0.5,0.5,50,1,Card,Urban,Loyal
5072,36,19161,51,799,3,213,,0.3,45,0,UPI,Semi-Urban,Occasional
24122,45,30670,41,467,6,69,0.4,0.3,12,2,UPI,Semi-Urban,Loyal
48810,48,25153,5,,11,27,0,0.1,,2,Card,Rural,Occasional
17821,20,85448,61,900,2,311,0.1,0.1,70,1,UPI,Semi-Urban,Occasional
1123,43,9365,39,233,4,44,0,0.1,16,0,Card,Urban,Loyal
11265,63,71140,56,248,3,55,0.1,0.2,44,0,Card,Semi-Urban,Regular
30580,45,64268,22,196,4,42,0.2,0.1,80,1,UPI,Urban,Regular
45465,25,17198,69,129,10,12,0,0.1,27,1,UPI,Rural,Loyal
48217,22,62799,22,398,4,88,0.1,0.2,52,2,Card,Urban,Regular
43045,64,22197,37,47,3,12,0.3,0.1,,4,Card,Urban,Regular
15657,54,58929,18,380,9,37,0.4,0.1,70,0,Card,Rural,Occasional
1901,56,48394,17,484,4,97,0.5,0.1,120,3,Card,Urban,Occasional
148,20,20997,38,271,7,35,0.1,0.1,33,1,UPI,Urban,Loyal
29643,52,60956,25,440,1,177,0.4,0.5,59,0,Card,Urban,Occasional
3212,65,28560,33,510,9,49,0.1,0.1,31,0,Card,Rural,Regular
43851,19,51388,30,413,5,67,0.2,0.2,74,3,Card,Urban,Occasional
2355,25,33585,14,76,4,15,0.2,0.2,10,0,Wallet,Rural,Occasional
31521,66,33173,37,,5,32,0.3,,32,1,Card,Urban,Loyal
42584,68,49659,20,394,12,31,0.2,0.2,,2,Wallet,Semi-Urban,Regular
43338,44,67212,18,128,2,40,0.4,0,48,0,UPI,Urban,Occasional
45285,69,20451,37,455,10,42,0.6,0.2,85,0,Wallet,Semi-Urban,High_Value
46957,32,65680,47,680,4,141,0.1,0.1,141,1,Card,Urban,Regular
48791,28,313389,36,118,4,22,0.1,,46,,UPI,Urban,Regular
36586,21,26453,64,292,3,65,0.5,0,,3,Wallet,Semi-Urban,Occasional
10466,30,21679,36,412,6,57,,,95,1,Card,Rural,Regular
7822,68,41183,65,453,5,70,0.3,0.1,,1,Card,Urban,High_Value
7206,54,75695,63,327,5,58,0,0,34,0,Card,Semi-Urban,Loyal
6414,39,119958,17,786,10,72,0.4,0.2,44,2,Card,Semi-Urban,Regular
34047,29,88532,34,180,5,31,0.3,0.2,60,2,Wallet,Urban,Occasional
12729,25,45472,50,494,2,156,,0,39,1,UPI,Urban,Occasional
6926,45,36686,59,201,4,41,0.4,0.6,62,4,UPI,Urban,Regular
27996,53,35386,7,196,12,16,0.1,0.1,21,3,Wallet,Urban,Occasional
37613,53,45335,48,495,4,92,0.3,0,51,1,Card,Rural,Loyal
39484,18,39370,29,126,3,34,0,0.5,24,2,Wallet,Urban,Occasional
3017,27,30499,44,265,1,116,0.2,0.2,,,UPI,Rural,Occasional
1641,40,40603,21,305,5,54,0.5,0.2,110,2,Card,Semi-Urban,Regular
8884,29,,47,245,,10,0.2,0.2,39,2,Wallet,Rural,High_Value
37602,28,38347,36,757,2,277,0.4,0.1,19,2,UPI,Urban,Occasional
12970,23,,64,243,3,60,0.2,0,,1,UPI,Urban,Occasional
23464,60,20569,47,381,5,66,0.5,,33,1,Card,Urban,Loyal
15758,67,42946,38,497,3,115,0.2,0.1,79,2,Card,Semi-Urban,Occasional
44077,24,,71,73,5,12,0.2,0.3,59,2,UPI,Semi-Urban,Loyal
4087,34,30759,67,282,4,56,0.2,0.2,,2,UPI,Urban,Regular
509,57,82365,36,343,5,57,,0.2,93,2,Card,Semi-Urban,Loyal
6355,26,17269,17,143,7,18,0.2,0,34,1,Card,Urban,Regular
29645,42,43165,52,411,0,297,0.1,0.2,67,0,Card,Semi-Urban,Occasional
20816,50,27921,20,55,4,11,0.5,0,52,1,UPI,Rural,Occasional
6235,48,73773,65,512,5,87,,0,54,1,Card,Semi-Urban,High_Value
31990,49,19769,29,536,5,92,0.1,0,14,,Card,Urban,Regular
12996,52,19513,43,,,59,0.4,0.1,124,0,Wallet,Semi-Urban,Regular
42502,64,40795,32,643,3,167,0.5,0.1,25,2,Card,Urban,Occasional
38921,33,30648,12,348,5,55,0.3,0.4,32,0,Wallet,Semi-Urban,Loyal
263,50,38169,21,98,3,23,0.2,0.2,29,1,Card,Urban,Regular
7892,24,36755,1,159,5,27,0.4,0.3,63,0,Wallet,Semi-Urban,Occasional
10528,40,18768,7,704,3,177,0.5,0.1,55,2,UPI,Urban,Occasional
18601,24,43051,10,1089,8,120,0.2,0.1,17,2,Card,Urban,Occasional
24115,23,39996,23,240,3,64,0.4,0.1,45,2,UPI,Urban,Occasional
33499,47,54061,59,300,5,52,0.3,0.1,13,3,UPI,Rural,Loyal
13472,66,25610,20,389,1,228,0.1,0.2,79,1,UPI,Semi-Urban,Occasional
31726,68,53082,21,265,1,119,0.5,0.2,93,4,Wallet,Semi-Urban,Occasional
23691,50,29318,22,376,4,82,0.5,0.2,91,1,Wallet,Semi-Urban,Regular
10558,56,33593,29,130,11,11,0.3,0.1,32,1,UPI,Urban,Loyal
6557,22,34136,59,146,6,21,0,0,28,1,Wallet,Rural,Loyal
45578,22,29557,67,124,2,37,0.3,0.1,72,2,UPI,Urban,High_Value
41504,64,22462,47,174,2,65,,0.1,51,1,UPI,Rural,Occasional
27873,27,28953,55,683,9,67,0.3,0,16,0,Card,Urban,High_Value
10811,63,23540,69,223,2,83,0.2,0.1,47,3,UPI,Rural,Regular
38215,63,,16,560,9,56,,0.1,34,2,Card,Rural,Occasional
11731,33,50163,23,661,8,71,0.1,,62,1,UPI,Semi-Urban,Regular
27439,58,13180,7,451,,50,0,0,31,1,UPI,Urban,Occasional
21780,26,28485,21,,15,11,0.3,0.3,,2,Card,Urban,Loyal
34080,67,30980,49,400,7,53,0.2,0.2,33,1,Card,Urban,Loyal
22916,30,28698,16,142,8,16,0.1,0,171,3,Card,Semi-Urban,Regular
8086,49,38949,10,603,2,201,0.5,0.1,42,2,Wallet,Urban,Occasional
43468,42,41558,64,452,5,81,0.2,0.1,43,4,UPI,Semi-Urban,High_Value
