TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,PrevTxn,TimeDiff,LogTimeDiff,HighLoginAttempts,FastTransaction,RapidTransactions,HighAmount,Fraud,Explanation
TX001734,AC00108,238.54,2023-04-07 16:04:00,Debit,Indianapolis,D000428,83.182.211.68,M006,ATM,19,Student,12,4,868.91,04-11-2024 08:07,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000851,AC00124,23.4,2023-02-08 18:27:00,Debit,El Paso,D000079,74.58.165.67,M027,ATM,46,Doctor,175,4,14851.28,04-11-2024 08:07,2023-01-23 17:18:00,1386540.0,14.142322714462644,1,0,0,0,1,multiple login attempts
TX002162,AC00139,10.15,2023-02-23 16:51:00,Debit,Austin,D000531,55.139.104.163,M004,ATM,59,Doctor,58,5,7155.04,04-11-2024 08:11,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000738,AC00149,1092.73,2023-01-23 17:24:00,Debit,Columbus,D000688,56.89.80.133,M064,Branch,58,Retired,11,1,1390.98,04-11-2024 08:07,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX000931,AC00160,757.1,2023-01-23 17:22:00,Debit,Atlanta,D000667,14.200.197.126,M071,Branch,65,Doctor,203,1,10553.23,04-11-2024 08:11,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX000148,AC00161,514.95,2023-04-13 18:37:00,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,421.93,04-11-2024 08:10,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000838,AC00169,39.21,2023-05-10 16:15:00,Debit,Miami,D000059,105.87.212.115,M093,ATM,66,Doctor,245,4,9385.57,04-11-2024 08:11,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001214,AC00170,1192.2,2023-12-21 16:21:00,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,5,7816.41,04-11-2024 08:09,2023-11-24 17:00:00,2330460.0,14.6615766600486,1,0,0,1,1,"multiple login attempts, high amount"
TX000267,AC00178,66.9,2023-04-17 16:50:00,Credit,Charlotte,D000221,138.210.196.19,M021,Online,79,Retired,129,4,5238.71,04-11-2024 08:10,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001058,AC00191,83.07,2023-01-06 16:13:00,Debit,Miami,D000182,138.210.196.19,M026,Branch,27,Engineer,291,4,6704.76,04-11-2024 08:10,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001083,AC00200,136.05,2023-01-23 16:19:00,Debit,Atlanta,D000362,82.115.199.37,M068,Online,24,Student,63,3,1127.54,04-11-2024 08:12,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX002007,AC00227,28.04,2023-02-15 16:37:00,Debit,Los Angeles,D000101,114.223.129.47,M008,ATM,57,Doctor,146,5,11197.54,04-11-2024 08:12,2023-01-09 16:12:00,3198300.0,14.97813028927273,1,0,0,0,1,multiple login attempts
TX002074,AC00228,441.26,2023-02-27 16:07:00,Credit,Tucson,D000490,92.180.81.50,M074,Branch,58,Doctor,87,5,13704.92,04-11-2024 08:11,2023-01-20 16:34:00,3281580.0,15.003835876424887,1,0,0,0,1,multiple login attempts
TX000925,AC00237,590.01,2023-02-06 16:42:00,Debit,San Jose,D000248,197.162.55.147,M044,Online,29,Doctor,140,3,9791.74,04-11-2024 08:07,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX002311,AC00243,176.52,2023-03-14 17:06:00,Credit,San Diego,D000333,223.32.70.156,M022,Online,73,Retired,94,5,7132.08,04-11-2024 08:08,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001558,AC00245,262.43,2023-06-13 17:26:00,Credit,San Diego,D000365,172.184.35.29,M046,Online,37,Doctor,274,5,12841.01,04-11-2024 08:07,2023-05-25 16:27:00,1645140.0,14.313336652794064,1,0,0,0,1,multiple login attempts
TX001043,AC00246,180.65,2023-12-04 17:54:00,Debit,Charlotte,D000552,10.223.224.50,M012,Branch,22,Student,38,5,816.01,04-11-2024 08:09,2023-06-05 17:45:00,15725340.0,16.570784045530285,1,0,0,0,1,multiple login attempts
TX000357,AC00261,121.82,2023-02-07 17:20:00,Debit,Colorado Springs,D000095,186.54.68.246,M094,Online,69,Doctor,123,3,8354.54,04-11-2024 08:08,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001610,AC00273,1431.33,2023-01-17 17:50:00,Debit,Charlotte,D000434,13.88.251.53,M075,ATM,30,Doctor,49,1,5567.98,04-11-2024 08:09,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX002263,AC00279,15.81,2023-03-02 18:36:00,Debit,Oklahoma City,D000606,96.24.89.146,M018,Branch,69,Doctor,11,4,8384.85,04-11-2024 08:12,2023-03-02 17:32:00,3840.0,8.253488028345904,1,0,0,0,1,multiple login attempts
TX002355,AC00282,959.48,2023-01-10 16:28:00,Debit,Miami,D000120,90.111.245.138,M004,Branch,67,Doctor,36,1,10631.43,04-11-2024 08:07,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX001985,AC00303,1512.99,2023-08-08 17:15:00,Debit,Philadelphia,D000032,195.164.171.146,M071,Online,19,Student,50,1,9963.39,04-11-2024 08:09,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX001619,AC00305,108.75,2023-10-17 16:09:00,Debit,Houston,D000081,119.163.214.161,M097,ATM,50,Doctor,23,4,14829.85,04-11-2024 08:10,2023-09-18 16:27:00,2504520.0,14.733608056651823,1,0,0,0,1,multiple login attempts
TX000808,AC00316,668.67,2023-11-07 17:38:00,Debit,Detroit,D000682,184.59.28.72,M019,Online,44,Doctor,143,4,13446.81,04-11-2024 08:06,2023-09-29 16:34:00,3373440.0,15.031443849642194,1,0,0,0,1,multiple login attempts
TX000492,AC00318,505.19,2023-03-14 16:25:00,Debit,Kansas City,D000660,60.89.202.192,M023,ATM,30,Doctor,128,5,5326.68,04-11-2024 08:10,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000395,AC00326,6.3,2023-12-14 18:52:00,Debit,Columbus,D000539,210.160.90.52,M017,Branch,80,Retired,283,5,7697.68,04-11-2024 08:12,2023-11-27 16:21:00,1477860.0,14.206106330059562,1,0,0,0,1,multiple login attempts
TX001732,AC00333,1.93,2023-10-19 18:06:00,Debit,Chicago,D000297,162.58.247.55,M030,Branch,47,Doctor,175,5,5684.09,04-11-2024 08:08,2023-07-28 16:29:00,7177020.0,15.786394952421583,1,0,0,0,1,multiple login attempts
TX002424,AC00340,332.06,2023-06-21 16:38:00,Debit,Seattle,D000365,94.37.250.128,M086,ATM,29,Doctor,221,4,11826.52,04-11-2024 08:06,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX001953,AC00350,1496.57,2023-02-27 16:18:00,Debit,Memphis,D000139,182.84.41.229,M092,Online,33,Engineer,95,1,969.06,04-11-2024 08:06,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX001585,AC00358,434.17,2023-01-05 16:40:00,Debit,Atlanta,D000238,161.161.26.115,M010,ATM,21,Student,148,5,5335.44,04-11-2024 08:09,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000906,AC00369,793.88,2023-02-22 16:17:00,Credit,Los Angeles,D000317,89.237.88.251,M036,ATM,22,Student,252,1,1404.06,04-11-2024 08:07,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX001918,AC00382,1427.71,2023-01-24 17:26:00,Debit,New York,D000015,59.208.79.116,M086,Branch,64,Doctor,159,1,1729.26,04-11-2024 08:09,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX002331,AC00415,69.38,2023-01-11 16:09:00,Debit,Detroit,D000191,22.196.202.183,M042,Branch,69,Doctor,280,2,12072.11,04-11-2024 08:11,,0.0,0.0,0,0,1,0,1,rapid transactions
TX000589,AC00418,178.88,2023-06-19 17:31:00,Credit,Dallas,D000101,38.210.156.148,M026,Branch,76,Retired,93,4,4708.29,04-11-2024 08:12,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000692,AC00418,25.94,2023-10-16 18:53:00,Credit,San Jose,D000232,42.219.228.159,M003,Online,58,Retired,211,5,4815.11,04-11-2024 08:06,2023-10-16 16:32:00,8460.0,9.0432226489245,1,0,0,0,1,multiple login attempts
TX001122,AC00426,303.97,2023-02-02 16:55:00,Debit,Fort Worth,D000215,7.146.35.122,M056,Online,24,Student,77,5,1590.88,04-11-2024 08:07,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
TX000232,AC00430,705.6,2023-02-20 18:41:00,Debit,Phoenix,D000103,205.45.234.42,M071,Branch,40,Doctor,124,3,14804.7,04-11-2024 08:09,2023-02-13 17:18:00,609780.0,13.320855155294238,1,0,0,1,1,"multiple login attempts, high amount"
TX002446,AC00439,403.01,2023-09-04 17:32:00,Debit,Washington,D000677,223.32.70.156,M029,Online,63,Doctor,286,3,10513.52,04-11-2024 08:09,2023-08-28 17:07:00,606300.0,13.31513184140697,1,0,0,0,1,multiple login attempts
TX000275,AC00454,1176.28,2023-12-20 16:08:00,Credit,Kansas City,D000476,50.202.8.53,M074,ATM,54,Engineer,174,5,323.69,04-11-2024 08:11,2023-11-17 17:31:00,2846220.0,14.861502707463208,1,0,0,1,1,"multiple login attempts, high amount"
TX000615,AC00466,1342.25,2023-04-28 18:11:00,Credit,Fort Worth,D000643,28.149.72.129,M032,Branch,21,Student,235,1,694.03,04-11-2024 08:08,,0.0,0.0,0,0,1,1,1,"rapid transactions, high amount"
TX000793,AC00468,253.55,2023-01-11 16:56:00,Debit,Jacksonville,D000112,41.82.55.163,M007,ATM,28,Engineer,85,5,2797.26,04-11-2024 08:09,,0.0,0.0,1,0,1,0,1,"multiple login attempts, rapid transactions"
